,$HAVE_CRYPTO,$HAVE_HASH,$HAVE_REPLICATIO0,$HAVE_VERIF1,$HAVE_SEQUENCE,$HAVE_STATISTICS,$DIAGNOSTIC,$PAGESIZE,$PS1K,$PS4K,$PS8K,$PS16K,$PS32K,$CACHESIZE,$CS32MB,$CS16MB,$CS64MB,$CS512MB,$<Performance
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0.502896333
1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0.568212308
2,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,3.267649641
3,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0.53944459
4,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,6.512719641
5,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,5.856607385
6,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,6.509292436
7,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,5.870778
8,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,6.531094846
9,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,6.511661769
10,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,5.870873872
11,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,5.844916949
12,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0.467633154
13,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0.374817641
14,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0.526568538
15,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0.474230538
16,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0.533739923
17,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,6.541553205
18,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,6.550136179
19,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,5.863638538
20,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,5.861659737
21,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0.478926921
22,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0.528323051
23,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,6.521982846
24,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,2.032915385
25,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,5.858542026
26,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0.478703692
27,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,6.530098564
28,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0.53221559
29,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,5.845517128
30,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.478544333
31,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,10.75622641
32,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.754641474
33,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,10.92121623
34,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.501547205
35,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0.386080632
36,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.751386667
37,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,10.7736279
38,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,10.90934995
39,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.510615487
40,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,10.72498874
41,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.499134231
42,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,10.73643292
43,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.756163308
44,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.742023821
45,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,10.90294745
46,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,2.084313769
47,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,10.90541476
48,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0.502242282
49,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,10.73141864
