,OldIO,NewIO,NIOBase,NIOType,ChunkedNIO,SingleWriteNIO,DirectNIO,S100MiB,S1MiB,INCompressor,Verifier,ITracing,Tracing,TracingLevel,Severe,Finest,Statistics,PERF
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3451
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3138
2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3314
3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3398
4,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3269
5,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,3333
6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5231
7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5289
8,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5235
9,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,5304
10,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,5241
11,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5338
12,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,3269
13,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,3139
14,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,3264
15,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,3153
16,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,3161
17,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,3512
18,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,5228
19,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,5328
20,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,5220
21,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,5310
22,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,5309
23,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,5328
24,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,14638
25,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,14761
26,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,14562
27,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,14786
28,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,14580
29,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,14905
30,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,4714
31,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,4881
32,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,4768
33,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,4879
34,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,4787
35,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,4903
36,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3182
