,Solver,SeqSOR,CGSolver,BiCGSTABSolver,LoopSolver,SeqGS,GradientSolver,Precon,cells,post,pre,performance
0,1,1,0,0,0,0,1,1,50,5,2,7319.558571
1,1,0,0,0,1,1,0,1,50,0,1,13218.68929
2,1,1,0,0,1,0,0,1,51,4,0,7655.855357
3,1,0,0,0,1,1,0,1,52,1,2,11976.66429
4,1,0,0,0,1,1,0,1,53,6,2,9882.7925
5,1,0,0,0,0,1,1,1,51,2,2,9154.703929
6,1,0,0,1,0,1,0,1,53,2,1,10050.6425
7,1,0,0,0,0,1,1,1,51,0,1,11569.48929
8,1,0,0,0,1,1,0,1,51,5,3,9130.739643
9,1,0,0,0,1,1,0,1,55,3,2,10580.72143
10,1,1,0,1,0,0,0,1,50,1,3,9600.6725
11,1,1,1,0,0,0,0,1,50,5,4,7374.263214
12,1,1,0,1,0,0,0,1,50,1,2,9632.083929
13,1,0,1,0,0,1,0,1,52,1,4,12330.35357
14,1,0,0,1,0,1,0,1,53,2,0,10082.86357
15,1,1,0,1,0,0,0,1,53,5,3,10800.98929
16,1,0,0,0,0,1,1,1,50,6,0,6634.9125
17,1,0,1,0,0,1,0,1,50,1,4,8753.800714
18,1,0,0,0,0,1,1,1,53,6,4,7731.515357
19,1,1,0,1,0,0,0,1,54,5,1,11265.48571
20,1,0,0,1,0,1,0,1,53,4,3,9883.890357
21,1,0,0,1,0,1,0,1,50,5,4,6610.518929
22,1,0,0,0,0,1,1,1,52,6,0,7435.688929
23,1,0,0,0,0,1,1,1,53,3,3,10056.92643
24,1,1,0,1,0,0,0,1,54,1,1,14143.63929
25,1,1,0,0,1,0,0,1,55,5,4,11726.95357
26,1,0,0,0,1,1,0,1,52,0,1,16783.88571
27,1,0,1,0,0,1,0,1,50,3,1,8795.108214
28,1,0,0,0,0,1,1,1,54,5,5,7640.625357
29,1,0,0,0,0,1,1,1,55,6,1,7958.74
30,1,1,0,0,1,0,0,1,53,4,0,10802.36429
31,1,0,0,0,1,1,0,1,51,2,1,6867.651429
32,1,0,0,1,0,1,0,1,50,3,2,8872.176071
33,1,0,0,1,0,1,0,1,52,2,1,9805.199643
34,1,1,1,0,0,0,0,1,52,4,5,10486.15714
35,1,0,0,0,1,1,0,1,51,5,6,6837.886071
36,1,0,0,1,0,1,0,1,53,1,0,22299.70357
37,1,1,1,0,0,0,0,1,55,1,5,14562.46786
38,1,0,0,0,0,1,1,1,54,6,3,7818.407143
39,1,0,0,0,1,1,0,1,54,3,1,10409.45357
40,1,1,0,0,1,0,0,1,55,4,2,11676.98214
41,1,1,0,0,0,0,1,1,54,5,1,11257.61429
42,1,1,0,0,1,0,0,1,55,0,1,23177.10714
43,1,0,1,0,0,1,0,1,52,2,0,12169.2
44,1,1,0,0,0,0,1,1,50,2,0,9772.779286
45,1,1,0,1,0,0,0,1,53,2,0,10826.93214
46,1,1,1,0,0,0,0,1,50,1,0,24028.20357
47,1,0,0,0,0,1,1,1,51,5,5,6927.428929
48,1,1,0,1,0,0,0,1,55,2,1,11633.65357
49,1,0,1,0,0,1,0,1,53,5,4,9905.072143
