,$no_host_directories,$verbose,$no_clobber,$save_headers,$verbosity,$output_file,$quiet,$strict_comments,$no_http_keep_alive,$no_dns_cache,$base,$server_response,$no_verbose,$no_cookies,$convert_links,$no_directories,$<MainMemory
0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,13144
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,13572
2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,13556
3,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,13588
4,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,13156
5,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,13132
6,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,13148
7,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,13156
8,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,13548
9,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,13612
10,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,13524
11,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,13532
12,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,14028
13,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,13144
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13556
15,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,13576
16,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,13588
17,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,13580
18,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,13104
19,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,13520
20,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,13588
21,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,13556
22,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,13584
23,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,14168
24,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,13588
25,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,13548
26,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,13576
27,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,13548
28,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,13076
29,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,13496
30,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,13540
31,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,13524
32,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,13556
33,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,14180
34,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,13568
35,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,13596
36,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,13588
37,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,13588
38,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,13272
39,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,13520
40,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,13556
41,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,13572
42,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,13604
43,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,14228
44,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,13596
45,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,13140
