,Smoother_GS,CGS,Smoother_JAC,Smoother,Smoother_GSRB,Smoother_GSRBAC,CGS_IP_CG,Smoother_GSACBE,CGS_IP_AMG,CGS_RED_AMG,Smoother_GSAC,numCore,post,pre,performance
0,0,1,1,1,0,0,1,0,0,0,0,64,1,0,101.754
1,1,1,0,1,0,0,1,0,0,0,0,64,1,0,101.789
2,0,1,0,1,0,0,1,0,0,0,1,64,1,0,106.315
3,0,1,0,1,0,0,1,1,0,0,0,64,1,0,430.014
4,0,1,0,1,1,0,1,0,0,0,0,64,1,0,118.088
5,0,1,0,1,0,1,1,0,0,0,0,64,1,0,122.949
6,0,1,1,1,0,0,0,0,1,0,0,64,1,0,103.588
7,1,1,0,1,0,0,0,0,1,0,0,64,1,0,102.543
8,0,1,0,1,0,0,0,0,1,0,1,64,1,0,106.113
9,0,1,0,1,0,0,0,1,1,0,0,64,1,0,416.52
10,0,1,0,1,1,0,0,0,1,0,0,64,1,0,119.877
11,0,1,0,1,0,1,0,0,1,0,0,64,1,0,123.342
12,0,1,1,1,0,0,0,0,0,1,0,64,1,0,118.913
13,1,1,0,1,0,0,0,0,0,1,0,64,1,0,116.237
14,0,1,0,1,0,0,0,0,0,1,1,64,1,0,120.012
15,0,1,0,1,0,0,0,1,0,1,0,64,1,0,430.928
16,0,1,0,1,1,0,0,0,0,1,0,64,1,0,133.761
17,0,1,0,1,0,1,0,0,0,1,0,64,1,0,137.249
18,0,1,1,1,0,0,1,0,0,0,0,64,2,0,126.927
19,1,1,0,1,0,0,1,0,0,0,0,64,2,0,126.892
20,0,1,0,1,0,0,1,0,0,0,1,64,2,0,134.618
21,0,1,0,1,0,0,1,1,0,0,0,64,2,0,777.809
22,0,1,0,1,1,0,1,0,0,0,0,64,2,0,160.207
23,0,1,0,1,0,1,1,0,0,0,0,64,2,0,168.738
24,0,1,1,1,0,0,0,0,1,0,0,64,2,0,127.051
25,1,1,0,1,0,0,0,0,1,0,0,64,2,0,125.633
26,0,1,0,1,0,0,0,0,1,0,1,64,2,0,132.852
27,0,1,0,1,0,0,0,1,1,0,0,64,2,0,752.307
28,0,1,0,1,1,0,0,0,1,0,0,64,2,0,160.052
29,0,1,0,1,0,1,0,0,1,0,0,64,2,0,166.997
30,0,1,1,1,0,0,0,0,0,1,0,64,2,0,142.309
31,1,1,0,1,0,0,0,0,0,1,0,64,2,0,139.344
32,0,1,0,1,0,0,0,0,0,1,1,64,2,0,146.709
33,0,1,0,1,0,0,0,1,0,1,0,64,2,0,766.649
34,0,1,0,1,1,0,0,0,0,1,0,64,2,0,173.812
35,0,1,0,1,0,1,0,0,0,1,0,64,2,0,180.872
36,0,1,1,1,0,0,1,0,0,0,0,64,3,0,152.047
37,1,1,0,1,0,0,1,0,0,0,0,64,3,0,150.944
38,0,1,0,1,0,0,1,0,0,0,1,64,3,0,161.649
39,0,1,0,1,0,0,1,1,0,0,0,64,3,0,1129.36
40,0,1,0,1,1,0,1,0,0,0,0,64,3,0,201.456
41,0,1,0,1,0,1,1,0,0,0,0,64,3,0,212.176
42,0,1,1,1,0,0,0,0,1,0,0,64,3,0,151.52
43,1,1,0,1,0,0,0,0,1,0,0,64,3,0,148.629
44,0,1,0,1,0,0,0,0,1,0,1,64,3,0,159.269
45,0,1,0,1,0,0,0,1,1,0,0,64,3,0,1090.99
46,0,1,0,1,1,0,0,0,1,0,0,64,3,0,199.77
47,0,1,0,1,0,1,0,0,1,0,0,64,3,0,209.832
48,0,1,1,1,0,0,0,0,0,1,0,64,3,0,166.679
49,1,1,0,1,0,0,0,0,0,1,0,64,3,0,162.486
50,0,1,0,1,0,0,0,0,0,1,1,64,3,0,173.409
51,0,1,0,1,0,0,0,1,0,1,0,64,3,0,1102.71
52,0,1,0,1,1,0,0,0,0,1,0,64,3,0,213.996
53,0,1,0,1,0,1,0,0,0,1,0,64,3,0,224.217
54,0,1,1,1,0,0,1,0,0,0,0,64,4,0,176.019
55,1,1,0,1,0,0,1,0,0,0,0,64,4,0,173.899
56,0,1,0,1,0,0,1,0,0,0,1,64,4,0,189.451
57,0,1,0,1,0,0,1,1,0,0,0,64,4,0,1477.41
58,0,1,0,1,1,0,1,0,0,0,0,64,4,0,241.854
59,0,1,0,1,0,1,1,0,0,0,0,64,4,0,257.167
60,0,1,1,1,0,0,0,0,1,0,0,64,4,0,174.8
61,1,1,0,1,0,0,0,0,1,0,0,64,4,0,171.684
62,0,1,0,1,0,0,0,0,1,0,1,64,4,0,185.723
